LOG:  database system was shut down at 2012-07-29 23:31:50 CEST
LOG:  database system is ready to accept connections
LOG:  autovacuum launcher started
LOG:  duration: 7731.297 ms  statement: select a/19728, avg(b) from uk3 group by a/19728;
LOG:  duration: 0.524 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=19776 qcache=0 func='avg';
LOG:  duration: 6154.785 ms  statement: select a/19776, avg(b) from uk3 group by a/19776;
LOG:  duration: 0.986 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=19824 qcache=0 func='avg';
LOG:  duration: 7745.878 ms  statement: select a/19824, avg(b) from uk3 group by a/19824;
LOG:  duration: 0.559 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=19872 qcache=0 func='avg';
LOG:  duration: 7968.111 ms  statement: select a/19872, avg(b) from uk3 group by a/19872;
LOG:  duration: 0.686 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=19920 qcache=0 func='avg';
LOG:  duration: 7069.258 ms  statement: select a/19920, avg(b) from uk3 group by a/19920;
LOG:  duration: 0.378 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=19968 qcache=0 func='avg';
LOG:  duration: 6454.488 ms  statement: select a/19968, avg(b) from uk3 group by a/19968;
LOG:  duration: 0.491 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20016 qcache=0 func='avg';
LOG:  duration: 6688.548 ms  statement: select a/20016, avg(b) from uk3 group by a/20016;
LOG:  duration: 0.376 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20064 qcache=0 func='avg';
LOG:  duration: 6028.582 ms  statement: select a/20064, avg(b) from uk3 group by a/20064;
LOG:  duration: 0.818 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20112 qcache=0 func='avg';
LOG:  duration: 6151.800 ms  statement: select a/20112, avg(b) from uk3 group by a/20112;
LOG:  duration: 0.467 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20160 qcache=0 func='avg';
LOG:  duration: 6376.048 ms  statement: select a/20160, avg(b) from uk3 group by a/20160;
LOG:  duration: 0.376 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20208 qcache=0 func='avg';
LOG:  duration: 7092.570 ms  statement: select a/20208, avg(b) from uk3 group by a/20208;
LOG:  duration: 0.463 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20256 qcache=0 func='avg';
LOG:  duration: 5920.611 ms  statement: select a/20256, avg(b) from uk3 group by a/20256;
LOG:  duration: 0.449 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20304 qcache=0 func='avg';
LOG:  duration: 6241.501 ms  statement: select a/20304, avg(b) from uk3 group by a/20304;
LOG:  duration: 0.399 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20352 qcache=0 func='avg';
LOG:  duration: 5698.030 ms  statement: select a/20352, avg(b) from uk3 group by a/20352;
LOG:  duration: 0.453 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20400 qcache=0 func='avg';
LOG:  duration: 5765.930 ms  statement: select a/20400, avg(b) from uk3 group by a/20400;
LOG:  duration: 0.482 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20448 qcache=0 func='avg';
LOG:  duration: 5764.943 ms  statement: select a/20448, avg(b) from uk3 group by a/20448;
LOG:  duration: 0.453 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20496 qcache=0 func='avg';
LOG:  duration: 5779.204 ms  statement: select a/20496, avg(b) from uk3 group by a/20496;
LOG:  duration: 0.472 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20544 qcache=0 func='avg';
LOG:  duration: 5765.062 ms  statement: select a/20544, avg(b) from uk3 group by a/20544;
LOG:  duration: 0.355 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20592 qcache=0 func='avg';
LOG:  duration: 5684.580 ms  statement: select a/20592, avg(b) from uk3 group by a/20592;
LOG:  duration: 0.378 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20640 qcache=0 func='avg';
LOG:  duration: 6327.584 ms  statement: select a/20640, avg(b) from uk3 group by a/20640;
LOG:  duration: 0.536 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20688 qcache=0 func='avg';
LOG:  duration: 6756.981 ms  statement: select a/20688, avg(b) from uk3 group by a/20688;
LOG:  duration: 0.578 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20736 qcache=0 func='avg';
LOG:  duration: 5816.099 ms  statement: select a/20736, avg(b) from uk3 group by a/20736;
LOG:  duration: 0.615 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20784 qcache=0 func='avg';
LOG:  duration: 5708.891 ms  statement: select a/20784, avg(b) from uk3 group by a/20784;
LOG:  duration: 1.609 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20832 qcache=0 func='avg';
LOG:  duration: 5737.608 ms  statement: select a/20832, avg(b) from uk3 group by a/20832;
LOG:  duration: 0.378 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20880 qcache=0 func='avg';
LOG:  duration: 5941.974 ms  statement: select a/20880, avg(b) from uk3 group by a/20880;
LOG:  duration: 0.367 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20928 qcache=0 func='avg';
LOG:  duration: 6239.919 ms  statement: select a/20928, avg(b) from uk3 group by a/20928;
LOG:  duration: 0.427 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=20976 qcache=0 func='avg';
LOG:  duration: 5974.057 ms  statement: select a/20976, avg(b) from uk3 group by a/20976;
LOG:  duration: 0.838 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21024 qcache=0 func='avg';
LOG:  duration: 5961.695 ms  statement: select a/21024, avg(b) from uk3 group by a/21024;
LOG:  duration: 0.383 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21072 qcache=0 func='avg';
LOG:  duration: 8028.144 ms  statement: select a/21072, avg(b) from uk3 group by a/21072;
LOG:  duration: 0.417 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21120 qcache=0 func='avg';
LOG:  duration: 6030.030 ms  statement: select a/21120, avg(b) from uk3 group by a/21120;
LOG:  duration: 0.585 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21168 qcache=0 func='avg';
LOG:  duration: 5959.384 ms  statement: select a/21168, avg(b) from uk3 group by a/21168;
LOG:  duration: 0.433 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21216 qcache=0 func='avg';
LOG:  duration: 6509.435 ms  statement: select a/21216, avg(b) from uk3 group by a/21216;
LOG:  duration: 0.613 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21264 qcache=0 func='avg';
LOG:  duration: 7323.698 ms  statement: select a/21264, avg(b) from uk3 group by a/21264;
LOG:  duration: 0.480 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21312 qcache=0 func='avg';
LOG:  duration: 6240.124 ms  statement: select a/21312, avg(b) from uk3 group by a/21312;
LOG:  duration: 0.695 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21360 qcache=0 func='avg';
LOG:  duration: 5764.570 ms  statement: select a/21360, avg(b) from uk3 group by a/21360;
LOG:  duration: 0.389 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21408 qcache=0 func='avg';
LOG:  duration: 5824.421 ms  statement: select a/21408, avg(b) from uk3 group by a/21408;
LOG:  duration: 0.406 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21456 qcache=0 func='avg';
LOG:  duration: 6548.982 ms  statement: select a/21456, avg(b) from uk3 group by a/21456;
LOG:  duration: 619.646 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21504 qcache=0 func='avg';
LOG:  duration: 5865.869 ms  statement: select a/21504, avg(b) from uk3 group by a/21504;
LOG:  duration: 664.564 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21552 qcache=0 func='avg';
LOG:  duration: 5971.717 ms  statement: select a/21552, avg(b) from uk3 group by a/21552;
LOG:  duration: 676.398 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21600 qcache=0 func='avg';
LOG:  duration: 5901.006 ms  statement: select a/21600, avg(b) from uk3 group by a/21600;
LOG:  duration: 667.097 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21648 qcache=0 func='avg';
LOG:  duration: 6222.730 ms  statement: select a/21648, avg(b) from uk3 group by a/21648;
LOG:  duration: 670.243 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21696 qcache=0 func='avg';
LOG:  duration: 5985.456 ms  statement: select a/21696, avg(b) from uk3 group by a/21696;
LOG:  duration: 694.436 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21744 qcache=0 func='avg';
LOG:  duration: 5899.765 ms  statement: select a/21744, avg(b) from uk3 group by a/21744;
LOG:  duration: 677.475 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21792 qcache=0 func='avg';
LOG:  duration: 6065.127 ms  statement: select a/21792, avg(b) from uk3 group by a/21792;
LOG:  duration: 658.085 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21840 qcache=0 func='avg';
LOG:  duration: 5730.593 ms  statement: select a/21840, avg(b) from uk3 group by a/21840;
LOG:  duration: 656.179 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21888 qcache=0 func='avg';
LOG:  duration: 5701.490 ms  statement: select a/21888, avg(b) from uk3 group by a/21888;
LOG:  duration: 664.841 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21936 qcache=0 func='avg';
LOG:  duration: 5735.909 ms  statement: select a/21936, avg(b) from uk3 group by a/21936;
LOG:  duration: 655.827 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=21984 qcache=0 func='avg';
LOG:  duration: 5993.752 ms  statement: select a/21984, avg(b) from uk3 group by a/21984;
LOG:  duration: 652.279 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22032 qcache=0 func='avg';
LOG:  duration: 5686.109 ms  statement: select a/22032, avg(b) from uk3 group by a/22032;
LOG:  duration: 645.606 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22080 qcache=0 func='avg';
LOG:  duration: 5602.444 ms  statement: select a/22080, avg(b) from uk3 group by a/22080;
LOG:  duration: 659.345 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22128 qcache=0 func='avg';
LOG:  duration: 5616.503 ms  statement: select a/22128, avg(b) from uk3 group by a/22128;
LOG:  duration: 657.645 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22176 qcache=0 func='avg';
LOG:  duration: 6246.968 ms  statement: select a/22176, avg(b) from uk3 group by a/22176;
LOG:  duration: 619.993 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22224 qcache=0 func='avg';
LOG:  duration: 5532.338 ms  statement: select a/22224, avg(b) from uk3 group by a/22224;
LOG:  duration: 651.449 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22272 qcache=0 func='avg';
LOG:  duration: 5621.929 ms  statement: select a/22272, avg(b) from uk3 group by a/22272;
LOG:  duration: 662.269 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22320 qcache=0 func='avg';
LOG:  duration: 5588.215 ms  statement: select a/22320, avg(b) from uk3 group by a/22320;
LOG:  duration: 642.970 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22368 qcache=0 func='avg';
LOG:  duration: 5586.395 ms  statement: select a/22368, avg(b) from uk3 group by a/22368;
LOG:  duration: 661.506 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22416 qcache=0 func='avg';
LOG:  duration: 6569.789 ms  statement: select a/22416, avg(b) from uk3 group by a/22416;
LOG:  duration: 617.531 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22464 qcache=0 func='avg';
LOG:  duration: 5582.678 ms  statement: select a/22464, avg(b) from uk3 group by a/22464;
LOG:  duration: 645.720 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22512 qcache=0 func='avg';
LOG:  duration: 5663.291 ms  statement: select a/22512, avg(b) from uk3 group by a/22512;
LOG:  duration: 700.859 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22560 qcache=0 func='avg';
LOG:  duration: 5988.422 ms  statement: select a/22560, avg(b) from uk3 group by a/22560;
LOG:  duration: 639.780 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22608 qcache=0 func='avg';
LOG:  duration: 5611.664 ms  statement: select a/22608, avg(b) from uk3 group by a/22608;
LOG:  duration: 656.113 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22656 qcache=0 func='avg';
LOG:  duration: 5637.068 ms  statement: select a/22656, avg(b) from uk3 group by a/22656;
LOG:  duration: 625.741 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22704 qcache=0 func='avg';
LOG:  duration: 5662.841 ms  statement: select a/22704, avg(b) from uk3 group by a/22704;
LOG:  duration: 662.147 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22752 qcache=0 func='avg';
LOG:  duration: 5694.763 ms  statement: select a/22752, avg(b) from uk3 group by a/22752;
LOG:  duration: 676.133 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22800 qcache=0 func='avg';
LOG:  duration: 5637.731 ms  statement: select a/22800, avg(b) from uk3 group by a/22800;
LOG:  duration: 650.180 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22848 qcache=0 func='avg';
LOG:  duration: 5629.881 ms  statement: select a/22848, avg(b) from uk3 group by a/22848;
LOG:  duration: 645.149 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22896 qcache=0 func='avg';
LOG:  duration: 5692.325 ms  statement: select a/22896, avg(b) from uk3 group by a/22896;
LOG:  duration: 671.856 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22944 qcache=0 func='avg';
LOG:  duration: 6340.505 ms  statement: select a/22944, avg(b) from uk3 group by a/22944;
LOG:  duration: 667.398 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=22992 qcache=0 func='avg';
LOG:  duration: 5864.130 ms  statement: select a/22992, avg(b) from uk3 group by a/22992;
LOG:  duration: 752.689 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23040 qcache=0 func='avg';
LOG:  duration: 5661.660 ms  statement: select a/23040, avg(b) from uk3 group by a/23040;
LOG:  duration: 652.676 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23088 qcache=0 func='avg';
LOG:  duration: 6239.237 ms  statement: select a/23088, avg(b) from uk3 group by a/23088;
LOG:  duration: 652.533 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23136 qcache=0 func='avg';
LOG:  duration: 5674.732 ms  statement: select a/23136, avg(b) from uk3 group by a/23136;
LOG:  duration: 672.232 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23184 qcache=0 func='avg';
LOG:  duration: 6153.702 ms  statement: select a/23184, avg(b) from uk3 group by a/23184;
LOG:  duration: 674.103 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23232 qcache=0 func='avg';
LOG:  duration: 5921.215 ms  statement: select a/23232, avg(b) from uk3 group by a/23232;
LOG:  duration: 656.889 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23280 qcache=0 func='avg';
LOG:  duration: 5926.831 ms  statement: select a/23280, avg(b) from uk3 group by a/23280;
LOG:  duration: 674.187 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23328 qcache=0 func='avg';
LOG:  duration: 5548.422 ms  statement: select a/23328, avg(b) from uk3 group by a/23328;
LOG:  duration: 667.505 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23376 qcache=0 func='avg';
LOG:  duration: 5548.743 ms  statement: select a/23376, avg(b) from uk3 group by a/23376;
LOG:  duration: 657.043 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23424 qcache=0 func='avg';
LOG:  duration: 5546.803 ms  statement: select a/23424, avg(b) from uk3 group by a/23424;
LOG:  duration: 662.872 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23472 qcache=0 func='avg';
LOG:  duration: 5560.983 ms  statement: select a/23472, avg(b) from uk3 group by a/23472;
LOG:  duration: 642.612 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23520 qcache=0 func='avg';
LOG:  duration: 5629.222 ms  statement: select a/23520, avg(b) from uk3 group by a/23520;
LOG:  duration: 642.313 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23568 qcache=0 func='avg';
LOG:  duration: 5563.021 ms  statement: select a/23568, avg(b) from uk3 group by a/23568;
LOG:  duration: 657.072 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23616 qcache=0 func='avg';
LOG:  duration: 5546.034 ms  statement: select a/23616, avg(b) from uk3 group by a/23616;
LOG:  duration: 0.393 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23664 qcache=0 func='avg';
LOG:  duration: 5551.780 ms  statement: select a/23664, avg(b) from uk3 group by a/23664;
LOG:  duration: 0.408 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23712 qcache=0 func='avg';
LOG:  duration: 5593.659 ms  statement: select a/23712, avg(b) from uk3 group by a/23712;
LOG:  duration: 0.731 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23760 qcache=0 func='avg';
LOG:  duration: 5565.502 ms  statement: select a/23760, avg(b) from uk3 group by a/23760;
LOG:  duration: 0.577 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23808 qcache=0 func='avg';
LOG:  duration: 5566.587 ms  statement: select a/23808, avg(b) from uk3 group by a/23808;
LOG:  duration: 0.501 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23856 qcache=0 func='avg';
LOG:  duration: 5639.305 ms  statement: select a/23856, avg(b) from uk3 group by a/23856;
LOG:  duration: 0.443 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23904 qcache=0 func='avg';
LOG:  duration: 5598.986 ms  statement: select a/23904, avg(b) from uk3 group by a/23904;
LOG:  duration: 0.370 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=23952 qcache=0 func='avg';
LOG:  duration: 5590.051 ms  statement: select a/23952, avg(b) from uk3 group by a/23952;
LOG:  duration: 0.676 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24000 qcache=0 func='avg';
LOG:  duration: 5538.462 ms  statement: select a/24000, avg(b) from uk3 group by a/24000;
LOG:  duration: 0.532 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24048 qcache=0 func='avg';
LOG:  duration: 5624.385 ms  statement: select a/24048, avg(b) from uk3 group by a/24048;
LOG:  duration: 0.768 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24096 qcache=0 func='avg';
LOG:  duration: 5567.823 ms  statement: select a/24096, avg(b) from uk3 group by a/24096;
LOG:  duration: 0.523 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24144 qcache=0 func='avg';
LOG:  duration: 6063.550 ms  statement: select a/24144, avg(b) from uk3 group by a/24144;
LOG:  duration: 0.438 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24192 qcache=0 func='avg';
LOG:  duration: 5694.420 ms  statement: select a/24192, avg(b) from uk3 group by a/24192;
LOG:  duration: 0.374 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24240 qcache=0 func='avg';
LOG:  duration: 5699.655 ms  statement: select a/24240, avg(b) from uk3 group by a/24240;
LOG:  duration: 0.405 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24288 qcache=0 func='avg';
LOG:  duration: 5613.894 ms  statement: select a/24288, avg(b) from uk3 group by a/24288;
LOG:  duration: 0.399 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24336 qcache=0 func='avg';
LOG:  duration: 5663.335 ms  statement: select a/24336, avg(b) from uk3 group by a/24336;
LOG:  duration: 0.379 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24384 qcache=0 func='avg';
LOG:  duration: 5875.998 ms  statement: select a/24384, avg(b) from uk3 group by a/24384;
LOG:  duration: 0.548 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24432 qcache=0 func='avg';
LOG:  duration: 5865.145 ms  statement: select a/24432, avg(b) from uk3 group by a/24432;
LOG:  duration: 0.376 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24480 qcache=0 func='avg';
LOG:  duration: 5771.530 ms  statement: select a/24480, avg(b) from uk3 group by a/24480;
LOG:  duration: 0.393 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24528 qcache=0 func='avg';
LOG:  duration: 5808.370 ms  statement: select a/24528, avg(b) from uk3 group by a/24528;
LOG:  duration: 0.427 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24576 qcache=0 func='avg';
LOG:  duration: 5899.920 ms  statement: select a/24576, avg(b) from uk3 group by a/24576;
LOG:  duration: 1.102 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24624 qcache=0 func='avg';
LOG:  duration: 5732.867 ms  statement: select a/24624, avg(b) from uk3 group by a/24624;
LOG:  duration: 0.356 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24672 qcache=0 func='avg';
LOG:  duration: 5546.799 ms  statement: select a/24672, avg(b) from uk3 group by a/24672;
LOG:  duration: 0.582 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24720 qcache=0 func='avg';
LOG:  duration: 5800.416 ms  statement: select a/24720, avg(b) from uk3 group by a/24720;
LOG:  duration: 0.671 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24768 qcache=0 func='avg';
LOG:  duration: 5820.264 ms  statement: select a/24768, avg(b) from uk3 group by a/24768;
LOG:  duration: 0.413 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24816 qcache=0 func='avg';
LOG:  duration: 5877.618 ms  statement: select a/24816, avg(b) from uk3 group by a/24816;
LOG:  duration: 0.418 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24864 qcache=0 func='avg';
LOG:  duration: 5891.916 ms  statement: select a/24864, avg(b) from uk3 group by a/24864;
LOG:  duration: 0.396 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24912 qcache=0 func='avg';
LOG:  duration: 5841.708 ms  statement: select a/24912, avg(b) from uk3 group by a/24912;
LOG:  duration: 0.430 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=24960 qcache=0 func='avg';
LOG:  duration: 5890.660 ms  statement: select a/24960, avg(b) from uk3 group by a/24960;
LOG:  duration: 0.634 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25008 qcache=0 func='avg';
LOG:  duration: 5956.551 ms  statement: select a/25008, avg(b) from uk3 group by a/25008;
LOG:  duration: 0.425 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25056 qcache=0 func='avg';
LOG:  duration: 5944.240 ms  statement: select a/25056, avg(b) from uk3 group by a/25056;
LOG:  duration: 0.425 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25104 qcache=0 func='avg';
LOG:  duration: 6159.388 ms  statement: select a/25104, avg(b) from uk3 group by a/25104;
LOG:  duration: 0.362 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25152 qcache=0 func='avg';
LOG:  duration: 5971.824 ms  statement: select a/25152, avg(b) from uk3 group by a/25152;
LOG:  duration: 0.479 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25200 qcache=0 func='avg';
LOG:  duration: 6035.624 ms  statement: select a/25200, avg(b) from uk3 group by a/25200;
LOG:  duration: 0.407 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25248 qcache=0 func='avg';
LOG:  duration: 5873.410 ms  statement: select a/25248, avg(b) from uk3 group by a/25248;
LOG:  duration: 0.659 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25296 qcache=0 func='avg';
LOG:  duration: 5786.595 ms  statement: select a/25296, avg(b) from uk3 group by a/25296;
LOG:  duration: 0.477 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25344 qcache=0 func='avg';
LOG:  duration: 5782.699 ms  statement: select a/25344, avg(b) from uk3 group by a/25344;
LOG:  duration: 0.406 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25392 qcache=0 func='avg';
LOG:  duration: 5770.911 ms  statement: select a/25392, avg(b) from uk3 group by a/25392;
LOG:  duration: 0.437 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25440 qcache=0 func='avg';
LOG:  duration: 5737.317 ms  statement: select a/25440, avg(b) from uk3 group by a/25440;
LOG:  duration: 0.449 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25488 qcache=0 func='avg';
LOG:  duration: 5739.737 ms  statement: select a/25488, avg(b) from uk3 group by a/25488;
LOG:  duration: 0.494 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25536 qcache=0 func='avg';
LOG:  duration: 5794.558 ms  statement: select a/25536, avg(b) from uk3 group by a/25536;
LOG:  duration: 0.406 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25584 qcache=0 func='avg';
LOG:  duration: 6502.911 ms  statement: select a/25584, avg(b) from uk3 group by a/25584;
LOG:  duration: 0.416 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25632 qcache=0 func='avg';
LOG:  duration: 6072.388 ms  statement: select a/25632, avg(b) from uk3 group by a/25632;
LOG:  duration: 0.379 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25680 qcache=0 func='avg';
LOG:  duration: 5961.090 ms  statement: select a/25680, avg(b) from uk3 group by a/25680;
LOG:  duration: 0.639 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25728 qcache=0 func='avg';
LOG:  duration: 6697.499 ms  statement: select a/25728, avg(b) from uk3 group by a/25728;
LOG:  duration: 781.577 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25776 qcache=0 func='avg';
LOG:  duration: 6015.069 ms  statement: select a/25776, avg(b) from uk3 group by a/25776;
LOG:  duration: 674.887 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25824 qcache=0 func='avg';
LOG:  duration: 5671.991 ms  statement: select a/25824, avg(b) from uk3 group by a/25824;
LOG:  duration: 666.456 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25872 qcache=0 func='avg';
LOG:  duration: 5624.138 ms  statement: select a/25872, avg(b) from uk3 group by a/25872;
LOG:  duration: 658.673 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25920 qcache=0 func='avg';
LOG:  duration: 5663.067 ms  statement: select a/25920, avg(b) from uk3 group by a/25920;
LOG:  duration: 681.775 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=25968 qcache=0 func='avg';
LOG:  duration: 5644.086 ms  statement: select a/25968, avg(b) from uk3 group by a/25968;
LOG:  duration: 684.188 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=26016 qcache=0 func='avg';
LOG:  duration: 5686.059 ms  statement: select a/26016, avg(b) from uk3 group by a/26016;
LOG:  duration: 682.056 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=26064 qcache=0 func='avg';
LOG:  duration: 5589.213 ms  statement: select a/26064, avg(b) from uk3 group by a/26064;
LOG:  duration: 662.865 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=26112 qcache=0 func='avg';
LOG:  duration: 5581.072 ms  statement: select a/26112, avg(b) from uk3 group by a/26112;
LOG:  duration: 646.733 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=26160 qcache=0 func='avg';
LOG:  duration: 5711.675 ms  statement: select a/26160, avg(b) from uk3 group by a/26160;
LOG:  duration: 663.330 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=26208 qcache=0 func='avg';
LOG:  duration: 5774.885 ms  statement: select a/26208, avg(b) from uk3 group by a/26208;
LOG:  duration: 694.542 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=26256 qcache=0 func='avg';
LOG:  duration: 5586.011 ms  statement: select a/26256, avg(b) from uk3 group by a/26256;
LOG:  duration: 678.098 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=26304 qcache=0 func='avg';
LOG:  duration: 5566.497 ms  statement: select a/26304, avg(b) from uk3 group by a/26304;
LOG:  duration: 673.487 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=26352 qcache=0 func='avg';
